"type",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
"Vannkraft",30915,33386,37625,39263,43778,48858,48188,52773,59609,56803,57261,63281,67440,72893,76644,77415,82037,72203,80864,88977,83962,93270,92888,106048,106339,102946,96819,103753,109544,118698,121382,110580,117062,119622,112676,122487,104148,110938,116280,121882,142289,121026,129837,106084,109291,136452,119729,134736,139981,126077,117152,121553,142810,128699,136181,138450,143417,143112,139704
"Varmekraft",206,208,119,196,164,92,160,93,92,219,345,282,175,143,56,71,96,229,133,146,137,127,268,321,327,346,465,530,475,499,466,429,441,467,528,514,555,471,496,538,496,555,561,943,929,860,1035,1536,1214,4719,5599,4795,3358,3395,3570,3546,3456,3436,3476
"Vindkraft",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10,9,11,11,25,31,27,75,218,252,499,636,892,913,977,879,1283,1548,1881,2217,2515,2116,2854,3877
"Import",210,140,34,54,116,117,631,344,179,221,808,458,120,66,63,83,240,2653,845,842,2039,1925,642,431,860,4083,4212,2983,1727,314,334,3274,1380,587,4836,2300,13212,8692,8046,6857,1474,10760,5329,13472,15334,3653,9802,5284,3414,5650,14673,11255,4190,10135,6347,7411,5741,6112,8340
"Export",78,231,325,898,1421,2176,907,1859,3174,1569,1644,3373,4767,5259,5607,5703,6877,1570,4250,5493,2501,7154,6704,13847,9130,4627,2180,3320,7355,15166,16241,6049,10109,8486,4968,8962,4236,4874,4412,8776,20529,7162,15002,5587,3842,15695,8947,15320,17291,14633,7123,14329,22006,15140,21932,22038,22151,21276,18489
