Verdensdel,Land/region,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Europe,Ukraina,,,,,,,1412.902,3452.858,25186.053,26718.15403,19539.83446,22773.98808,46092.48434,40943.63426,34570.693,106493.1249,322936.62949,116572.504749,766692.860309
The Middle East,Jemen,17541.88,1000.0,457.804,2815.6641473,2223.274,2912.741,2907.809,1643.043,486.291,741.808,4533.032,2255.04,8489.481604,13427.647772,35945.389669,23641.138491,54076.860839,117021.838182,292120.7427043
The Middle East,Palestina,216832.94619,245678.0142,338735.744,406823.01764,379167.31903,362788.18876,476674.9245,562947.8295,621916.01282,660802.35241,628748.79193,661906.93528,628408.634085,623332.382616,632851.431609,740821.613536,629672.518666,572421.410104,9390530.066876002
The Middle East,Iran,13717.735,45702.892,33459.966,42644.214627,68647.098,77432.616,27757.481,16909.302,510.771,7330.411,5021.59914,44379.49959,13147.033,16682.29134,11923.0298,20919.599584,19858.669988,16199.999999,482244.2090680001
The Middle East,Libanon,30642.551,32827.736,38489.536,42774.5019484,42811.076,43387.692,49664.933,178254.688,89517.08756,61867.694,61777.55234,55974.919,68396.50765,88051.187868,139002.429538,145152.928946,285821.690667,546026.361526,2000441.0730434
The Middle East,Irak,172989.238,123278.387,95873.46,142677.982471,415416.602,124745.112,154749.027,145034.39,98915.737,99385.263,73056.62,46526.5136,45540.7759,46543.709123,62002.500945,227646.884978,240645.661591,402700.199878,2717728.064486
The Middle East,Oman,,,,,,,,105.054,,,,,,,,,,,105.054
The Middle East,Syria,9899.455,15289.874,8190.696,6166.4220309,13980.502,8545.257,9592.764,5733.96,6404.402,3796.917,146.40931,7877.11701,6586.47692,77762.4447,404617.82009,310418.007726,516451.821997,1019202.679928,2430663.0267119003
The Middle East,Midtøsten regional,31635.239,15970.027,24584.475,2448.1661,7902.62,11624.508,19749.339,16897.758,68107.96324,57788.04329,66966.63765,71104.72436,116037.079328,199161.607728,330056.870302,156378.447221,530144.211065,403244.204786,2129801.9210699997
The Middle East,Saudi-Arabia,,,12.537,156.5322684,373.235,,,105.054,,,,,,,,,,,647.3582683999999
The Middle East,Jordan,23279.148,29567.58,18332.24,17373.1999509,10223.205,8844.118,9976.587,24629.991,26825.29,13781.88,4980.996,2258.0,17802.40093,17317.259374,63514.085288,70195.74271,118808.541319,252784.561098,730494.8256699
Oceania,Salomonøyene,,,,,73.812,,,,,,,40.0,35.0,,,,,,148.812
Oceania,Papua Ny-Guinea,1724.343,1633.248,1265.36,1244.16,1603.8,2454.39,3003.48,3810.554,3618.0,9190.05011,10684.694,10778.22,9799.076822,9094.935861,9353.893995,9012.259416,19650.782366,11317.999992,119239.247562
Oceania,Nauru,,,,,168.386,,,,,,,,,,,,,,168.386
Oceania,Kiribati,,,155.48,165.0,,,,,,,,,,,,,,,320.48
Oceania,Oseania regional,,,,,,,,,,,,,4999.999999,,,,,,4999.999999
Oceania,Vanuatu,,,,,,,,75.0,,,59.119,,,,,,,,134.119
Oceania,Fiji,154.531,912.003,173.522,349.92,,179.91,,,,,,40.0,,,,1016.72917,,369.07134,3195.68651
Oceania,Marshalløyene,,,,,,,73.162,42.691,,298.636,290.109,,,,,169.342,,,873.9399999999999
Global unspecified,Global uspesifisert,923454.04976,1105842.21912,1193957.78687,1251448.77198,1502278.05821,1667865.26639,2298695.57849,2972746.03674,3687279.52139,4405044.9578,7204418.15046,6589520.30188,6529016.241878,6846609.310887,7630087.149009,9634912.664604,1.1515843586921E7,1.3685816169477E7,9.0644835821866E7
Multilateral,Multilateral,2798090.3883,2882672.62,3525542.711,3956754.55228,3897266.305,4173378.74592,4580911.08274,5078764.12787,5567811.45679,6055613.08626,6296367.26046,6463820.78138,6786877.19035,7154169.3612,7440235.730366,7542926.26406,7829425.46108,7566508.25891,9.959713538396601E7
Administration,Administrasjon,525727.186,562704.0,595177.409,651491.322,703942.43004,792829.791,885265.674,1041434.65,1117803.926,1222298.871,1386964.22012,1452090.79495,1503048.948,1536912.888,1780013.19431,1777884.17439,1958192.248,1957761.50269,2.14515432295E7
