Verdensdel,Land/region,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Africa,Egypt,9527.77,9550.75542,8238.081,4757.6831105,4662.451,4448.212,3586.905,3432.364,2092.873,1264.3885,4319.9127,4065.93676,10466.68949,6755.49864,12147.01033,16159.69703,35568.6938,32580.808602,173625.7303825
Africa,Kamerun,5715.606,6033.978,8644.959,45830.1563599,13143.579,11400.997,11890.594,4740.578,2709.599,2964.386,2558.83,2388.277,2808.462981,4843.824863,6718.60226,6709.859768,5566.819302,3136.471015,147805.57954889996
Africa,Tanzania,387688.10827,309419.36407,314161.343,372709.982006,476955.006,401636.5596,388571.15358,483481.68418,666775.82727,728521.08161,730937.24429,749199.8827,640355.917973,538554.66298,583657.412669,452563.153172,384498.802442,375174.775366,8984861.961178
Africa,Etiopia,186540.4416,207320.5614,146491.564,227401.2373527,263222.706,229420.75354,245204.807,268169.15392,198472.348,212741.85331,237366.28553,196809.58897,163032.03873,227678.455765,358950.417395,378491.027845,389836.959382,441765.195074,4578915.3948137
Africa,Mosambik,285902.74802,336089.25076,293222.831,308864.7465606,383059.365,411509.34845,437655.70767,412136.92438,469268.37705,551697.80165,504821.15495,445418.96829,471582.019105,503217.238543,298250.237682,360800.87002,264080.312051,239397.863691,6976975.764872601
Africa,Dem. Rep. Kongo,17339.346,49808.053,34764.145,101571.1459781,121085.542,123282.349,128146.209,138081.894,136693.16,199049.723,176119.8467,171060.95357,178899.502396,189363.997683,264008.497852,226484.914142,196374.496956,155096.687846,2607230.4641230996
Africa,Somalia,81149.174,176877.918,111278.132,203188.448395,283326.209,227035.783,201772.444,216614.48804,252756.1436,252139.61037,209310.057,182965.3824,467896.956449,203640.83444,370385.543473,364046.274174,345833.939859,339909.881543,4490127.219743
Africa,Guinea,461.0,,27163.669,4403.6530093,23959.59,10928.611,7278.602,3936.585,800.0,,,,,,,4139.999999,1144.156997,639.999999,84855.8670043
Africa,Marokko,335.039,1068.504,820.141,1342.1772223,2531.777,5597.653,696.552,903.355,28.0,,60.0,129.408,500.0,1171.32,2400.0,3128.88,3082.92099,1634.577,25430.304212299998
Africa,Afrika regional,357882.02488,317151.006,380751.529,397777.5966,395018.633,556251.2148,412653.66793,370270.15186,366517.71036,397927.95922,452833.98898,382368.51891,461984.918032,576143.820186,549935.266979,668801.150877,391416.196554,327310.024274,7762995.378442
Africa,Angola,153965.72911,145936.71149,157314.935,177271.8688541,171513.745,166863.82153,134686.96004,150064.30778,125408.1904,101555.16551,112022.64192,79934.66046,73161.313269,70547.103355,58737.108702,76814.212958,53206.842691,65390.748792,2074396.0668611
Africa,Liberia,11805.757,2588.397,5813.995,15478.6364893,63587.379,78416.825,45985.371,57318.48946,165022.42275,193129.99469,96496.19669,138070.06088,196754.398004,202771.721519,201542.281922,242308.157493,278904.396577,173079.654192,2169074.1346663
Africa,Tsjad,1294.0,1041.099,881.92,,361.968,,11375.749,10102.369,23807.0,24352.756,13640.0,10000.0,-28.69,,824.82915,,6000.0,,103653.00015
Africa,Ghana,5937.776,28303.356,4845.869,5601.6130664,4354.04,11662.593,7014.939,6566.843,7086.675,5669.66236,15452.2262,21978.35885,45122.87889,48082.228478,38577.947634,40929.490499,33061.42352,28191.172153,358439.09265040007
Africa,Togo,41.88,500.0,350.0,1723.0607393,1878.24,1678.518,6200.586,470.68,170.0,295.0,500.0,550.0,1442.86459,1321.754,1558.516,1069.999999,5193.249998,1193.25,26137.5993263
Africa,Senegal,9512.967,14571.719,10097.223,11103.3835368,8958.52,6896.336,4838.365,3798.353,3848.524,2917.092,3073.104,1785.11861,1712.400975,4029.061309,6194.233997,6238.235088,2683.602558,2673.749352,104931.98842580002
Africa,Elfenbenskysten,705.822,1342.52,2126.988,4044.4870736,6159.964,20489.254,24879.965,24068.584,27365.87,20523.80877,9870.84,10409.58171,41665.805699,44269.062054,5811.428996,6881.057993,8690.502498,2920.458681,262226.00047459995
Africa,Gambia,1146.187,1680.4,2148.68,5527.306,2088.956,1762.198,1652.146,1616.38,710.228,382.44,687.263,775.263,1621.072,312.0,758.477,1241.394998,1139.999998,1251.911998,26502.302993999994
Africa,Zambia,213240.84651,218037.80341,187112.662,231969.9522164,252005.63,251800.60033,315427.24382,424762.16216,436002.17401,418151.44083,393619.09752,326715.96245,443515.282961,301926.590797,290365.2763,190316.926776,179594.231984,120468.474918,5195032.3589924
Africa,Burundi,49823.785,46973.474,50859.744,81246.4304909,85983.445,79835.735,66190.543,83931.808,118491.294,145266.368,157644.018,117572.755,97110.780565,95515.771432,80930.368142,45224.608769,44099.660104,43267.775015,1489968.3635179
Africa,Mauritius,156.648,8255.858,5623.336,2497.52,,105.598,164.705,,256.796,-12106.483,2500.0,2000.0,4000.0,783.488,785.0,715.0,,,15737.466000000002
Africa,Djibouti,,2459.75,77.741,619.6568052,,179.91,700.0,3000.0,,,5000.0,2000.0,,,,2999.999998,2049.999999,,19087.0578022
Africa,Sierra Leone,48143.535,77136.961,83926.593,84376.7439905,36669.172,34827.599,26804.572,17275.97374,14501.76,20647.868,19270.55274,17982.962,19704.162998,14927.158437,14437.407949,9342.680162,56060.616962,43497.476085,639533.7950635
Africa,Uganda,198420.92628,184716.11804,177418.885,260482.9349497,271486.148,280841.61598,293289.50936,319200.3798,402538.19528,422404.51833,422679.73129,431869.80473,453822.946606,305758.972852,411309.416659,410162.986181,360482.378246,367115.56295,5974001.0305337
Africa,Afrika sør for Sahara regional,97651.71005,70289.86005,111382.333,134580.21019,126100.994,119832.06336,197583.55737,197429.48752,238721.272,317703.41247,329740.37374,579643.94339,414157.612883,753043.728671,316983.361893,293839.788685,282053.043142,447392.736216,5028129.4886300005
Africa,Gabon,,,,,,495.138,1114.201,,,,120.5,,,,315.473483,612.009518,525.685999,1279.048947,4462.056947
Africa,Ekvatorial-Guinea,254.0,306.34,360.4,,,,,,,,,,,,,,,,920.7399999999999
America,Venezuela,,2944.5,958.373,489.54,1115.768,1742.54,2638.393,1198.58,1848.249,349.862,240.86937,367.6084,845.13033,799.8545,-200.0,,,,15339.2676
America,Argentina,64.0,63.6,374.33,709.9732325,2608.71,200.0,,160.0,226.5,625.0,300.0,620.43368,300.0,300.0,4.313,712.42711,,,7269.2870225
America,Peru,12940.37,12194.774,19336.965,11442.9036811,61803.292,8403.585,21485.548,9062.623,837951.95343,1657.506,-45638.551,22863.901,19937.399887,29974.472937,32564.205668,41065.885221,39256.229844,96867.155646,1233170.2193141
America,Uruguay,382.5,233.2,114.48,,,,,,10000.0,,1108.39025,571.30786,155.0,270.0,-215.06515,88.389,,,12708.20196
America,Brasil,15166.352,20315.52552,21400.249,22748.53758,27489.262,20638.304,18152.097,17975.9162,55287.04969,33878.30145,185033.0454,226181.5785,406589.829885,1248123.80622,3988818.575464,882604.717045,1267711.591705,936994.085764,9395108.824423
America,Surinam,,,,,241.312,179.91,,,,,,,,,,,,,421.222
America,Honduras,28863.66396,17327.775,196299.275,7016.5460684,11527.201,12411.492,10895.29038,10148.739,8741.155,9074.261,8856.079,8990.917,8560.966179,25792.857373,67208.606002,11605.213368,10411.584407,10381.576539,464113.19827640004
